,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
231,61,591,1,1,1,-128849.09742590223,0.08,91259.51,-128849.09742590223
232,62,578,1,1,1,43495.48439976342,0.05,16732.14,43508.03350476342
233,35,582,2,1,5,103381.52365128926,0.31,32164.98,104857.25293368926
234,49,315,3,1,3,23423.660990911107,0.06,87559.45,23507.718062911106
235,63,613,1,1,1,193679.03293037825,0.09,57040.03,193720.10175197825
236,42,644,3,1,5,-135678.515003635,0.31,49646.7,-134093.295872635
237,43,644,2,1,3,83667.53277496307,0.13,84971.86,84153.57181416306
238,41,644,3,1,5,36069.326710338224,0.25,86905.22,37112.18935033822
239,63,617,1,1,1,-11329.887872589165,0.13,129488.31,-11329.887872589165
240,63,617,3,1,3,-163064.06865838025,0.23,67804.83,-163064.06865838025
241,47,660,1,1,1,-78272.44926069249,0.16,15238.44,-78053.0157246925
242,56,614,3,1,3,-213453.64161984625,0.05,76634.05,-213453.64161984625
243,59,587,1,1,1,14956.151011245996,0.01,113256.34,14956.151011245996
244,61,619,1,1,1,-38794.263086583785,0.34,37651.69,-38538.23159458378
245,39,318,3,1,3,6494.397835068547,0.27,61230.98,8114.569565868546
246,52,313,3,1,5,-129588.2467615828,0.18,30783.84,-129233.61692478281
247,51,551,3,1,3,19029.55437766952,0.15,51518.36,19477.76410966952
248,49,244,1,1,1,155551.47494866466,0.09,58934.54,155928.06665926467
249,53,551,1,1,1,238117.18968173448,0.3,12128.96,238335.5109617345
250,47,530,2,1,3,76260.40369285627,0.34,48731.76,77569.33876645628
251,53,344,1,2,1,-166212.05093496584,0.1,147362.33,-166212.05093496584
252,40,617,2,1,5,-434750.3402374457,0.0,83830.82,-434750.3402374457
253,40,329,3,1,3,25779.912378864967,0.34,83473.1,27397.621056864966
254,45,336,1,1,1,-130434.70575222936,0.16,121122.01,-129892.07914742937
255,53,301,1,1,1,-166634.7944530859,0.08,38815.39,-166448.4805810859
256,56,316,2,1,2,38981.59201172336,0.3,91818.23,38981.59201172336
257,50,304,1,1,1,-103524.90130094445,0.29,102214.15,-102813.49081694445
258,38,301,1,1,1,124756.04376335394,0.14,53199.26,125709.37450255394
259,47,341,1,1,1,-151945.15167919674,0.04,92675.68,-151782.04248239673
260,35,315,1,1,1,58147.96515061047,0.08,117185.82,58869.82980181047
261,39,315,3,1,3,97732.98624588546,0.0,8555.79,97732.98624588546
262,37,347,2,1,5,89659.52713612258,0.1,69594.96,90306.76026412258
263,51,288,1,1,1,621080.6180962581,0.03,30197.71,621144.0332872581
264,57,293,3,1,2,-142543.5313575417,0.06,30084.0,-142471.3297575417
265,41,324,1,4,1,-100639.21801273512,0.1,43786.12,-100122.54179673511
266,55,281,1,1,1,66372.76945837958,0.02,39865.98,66412.63543837958
267,58,566,1,1,1,-56551.21720925001,0.28,12798.47,-56425.792203250014
268,58,551,3,1,3,-100655.153904391,0.05,30689.71,-100601.446911891
269,59,566,1,1,1,-120927.18353398096,0.34,18336.02,-120740.15612998097
270,35,312,1,1,1,-4757.795398838157,0.34,75884.01,-1481.1238470381568
271,51,566,1,1,1,-220364.2118660948,0.34,42189.63,-219374.4431462948
272,57,551,1,1,1,-127322.91624256223,0.31,75200.96,-126763.42110016223
273,44,300,1,1,1,125012.24935493604,0.25,52244.51,126305.30097743604
274,35,337,1,1,1,4125.320732225942,0.35,10346.26,4668.499382225942
275,59,551,3,1,3,81749.39001199297,0.31,63156.53,81906.01820639297
276,55,588,2,1,3,-51691.74076581283,0.08,35857.98,-51559.78339941283
277,62,564,1,1,1,14069.463058460571,0.13,5960.53,14081.086091960571
278,36,298,1,1,1,-39275.235548915065,0.31,26826.4,-38069.38886891506
279,54,625,3,1,4,-167077.00076790125,0.32,59341.81,-167077.00076790125
280,56,385,2,4,3,-25182.237777407743,0.23,21436.99,-24960.364930907745
281,43,327,1,1,1,490431.8440233152,0.09,107067.02,490894.37354971515
282,63,588,3,1,3,-279468.99255383364,0.12,100852.87,-279468.99255383364
283,36,303,1,1,1,212507.27896132952,0.23,22669.1,213263.2934463295
284,53,310,2,1,3,4365.179627311174,0.27,43176.58,4971.378810511174
285,56,585,1,1,1,-76687.50259198,0.13,115776.71,-76687.50259198
286,54,545,2,1,5,10668.670791465876,0.07,59791.72,10802.604244265876
287,48,301,1,1,1,-42776.0983490568,0.01,56674.98,-42732.4586144568
288,42,286,1,1,1,-59335.26128276462,0.03,49813.22,-59170.87765676462
289,48,301,1,1,1,-43565.3252496238,0.28,19242.92,-43107.3437536238
290,56,535,2,1,3,235591.96762023872,0.1,79088.86,235591.96762023872
291,56,535,3,1,3,48907.18992828699,0.08,152621.63,48907.18992828699
292,51,526,1,1,1,6622.026348388753,0.35,46060.52,7702.145542388753
293,47,294,3,1,5,59834.15437568378,0.15,82777.01,60181.817817683776
294,53,526,1,1,1,13193.098606041342,0.33,27203.52,13731.728302041342
295,42,588,2,1,5,109451.81442640508,0.07,6121.54,109501.09282340508
296,42,588,2,1,3,126344.67999872568,0.07,45251.94,126680.44939352568
297,38,301,1,1,1,-246397.6881926916,0.33,37709.43,-244717.73308619158
298,50,526,3,1,4,68296.9086503052,0.31,94159.15,68296.9086503052
299,46,300,1,1,1,138401.45916765791,0.03,36210.35,138504.6586651579
300,54,566,1,1,1,70926.68818521428,0.13,101969.84,71032.73681881429
301,48,248,1,1,1,62828.05990010226,0.07,11307.45,62895.33922760226
302,36,586,3,1,3,-260095.45141134868,0.02,26995.62,-260017.16411334867
303,41,586,2,1,3,123507.94850517112,0.25,35925.99,124549.80221517112
304,53,375,1,4,1,11884.943377088151,0.27,18441.8,12183.70053708815
305,63,625,1,1,1,276598.79118703713,0.14,146135.45,276598.79118703713
306,43,327,1,1,1,63981.73380278045,0.17,57630.81,64981.05204818045
307,56,592,1,1,1,-21356.73371809906,0.22,75750.57,-20890.110206899062
308,42,327,2,1,3,89442.35528100336,0.23,218464.46,89442.35528100336
309,38,685,2,1,3,15213.944014885476,0.05,35075.72,15443.689980885476
310,36,615,1,1,1,88925.18560864846,0.18,48466.67,90155.26969324847
311,51,625,3,1,3,84091.39549693743,0.19,61246.11,84556.86593293743
312,39,303,3,1,3,10696.80670904247,0.18,69055.24,11728.49199464247
313,53,300,1,4,1,13275.576647414808,0.04,4047.9,13285.291607414807
314,50,298,3,1,3,66153.37942340296,0.08,18930.41,66266.96188340297
315,54,310,2,1,3,-176500.6932463185,0.13,68962.83,-176357.2505599185
316,51,591,1,1,1,-247708.5997172265,0.0,13491.09,-247708.5997172265
317,44,566,2,1,5,596927.8623823457,0.0,30332.45,596927.8623823457
318,43,566,3,1,5,147872.22374847528,0.11,100832.98,148182.7893268753
319,46,529,2,1,5,-120185.0424129198,0.26,73831.05,-119340.4152009198
320,57,585,1,1,1,-261769.52816732225,0.02,34854.8,-261741.64432732225
321,45,301,1,1,1,-120704.82930860708,0.21,72216.0,-119461.26978860708
322,60,600,2,1,3,63963.6603607208,0.1,3190.42,63971.6364107208
323,45,657,2,1,5,138902.43088460105,0.2,58804.72,139749.21885260104
324,42,258,2,1,3,-268075.8639739269,0.11,163576.78,-268075.8639739269
325,44,258,3,3,5,-30174.03849919555,0.1,81455.87,-29815.63267119555
326,35,318,1,1,1,32804.57854218769,0.2,70401.35,34733.57553218769
327,63,586,1,1,1,-121730.26235176824,0.22,161118.67,-121730.26235176824
328,50,617,1,1,1,168583.90880287287,0.26,58729.14,169591.70084527286
329,43,294,1,1,1,86768.66478210689,0.03,65279.5,86962.54489710688
330,37,559,2,1,3,-189309.8152924628,0.03,31219.27,-189179.63093656278
331,52,526,1,1,1,42071.26082248847,0.24,31220.44,42558.29968648847
332,49,301,1,1,1,77075.4919742791,0.32,201701.18,77075.4919742791
333,62,497,1,1,1,65724.9258061016,0.19,51473.09,65842.2844513016
334,36,312,1,1,1,-33853.49444124648,0.07,89207.82,-33216.550606446486
335,61,265,1,1,1,31628.407449336733,0.26,60899.25,31881.748329336733
336,46,280,3,2,3,-103029.33382579136,0.06,42294.29,-102808.55763199135
337,50,273,2,1,4,-286255.75188316224,0.26,20752.6,-286255.75188316224
338,60,545,2,1,3,-273572.0997763754,0.02,144177.52,-273572.0997763754
339,49,349,1,1,1,55353.95342329539,0.14,73448.51,55991.48649009539
340,45,344,3,1,3,-125938.43660360535,0.05,84095.44,-125787.06481160535
341,41,344,2,1,3,199616.4719855535,0.12,20634.05,199913.6023055535
342,37,351,1,1,1,-156134.99332601434,0.23,47634.8,-154644.97678201433
343,43,336,3,1,3,-65252.16664561165,0.02,108656.33,-65208.70411361165
344,44,494,2,4,5,186719.76393955515,0.23,79189.41,187521.16076875516
345,50,363,1,1,1,138744.85456173166,0.3,55469.3,139859.78749173167
346,57,399,2,4,3,-6707.456422971889,0.3,45823.68,-6267.549094971889
347,54,395,3,4,3,21381.13863826985,0.25,63908.55,21764.58993826985
348,42,326,3,1,1,74495.63397385494,0.2,220440.35,74495.63397385494
349,35,310,3,1,3,-113470.98834138368,0.19,43241.23,-112304.33995598368
350,43,211,1,3,1,637190.4236497876,0.16,126434.27,637837.7671121876
351,42,303,2,1,5,237970.03012066003,0.26,103773.83,238725.50360306003
352,45,303,3,1,5,74749.1906880331,0.16,29443.75,75220.2906880331
353,40,324,2,1,3,278641.0802718428,0.01,42989.44,278691.37791664276
354,52,566,1,1,1,-227549.91950713508,0.03,188802.02,-227549.91950713508
355,52,566,1,1,1,631315.0886613143,0.04,68785.63,631458.1627717144
356,35,312,1,1,1,-83752.85956350208,0.1,24458.93,-83385.97561350207
357,46,607,2,1,3,-65961.5125990294,0.34,143516.57,-65961.5125990294
358,50,566,3,1,3,-42262.54237380959,0.23,58572.65,-41615.900317809595
359,52,300,1,4,1,1985.1268647017653,0.03,138062.76,1985.1268647017653
360,63,583,3,1,2,97134.6249281268,0.18,39773.65,97191.89898412679
361,49,563,3,1,3,64489.16411341445,0.09,62083.49,64757.36479021445
362,56,598,1,1,1,-16634.668089123497,0.2,54779.62,-16218.342977123497
363,60,625,2,1,2,22477.887654108235,0.29,37161.61,22693.424992108234
364,60,595,1,1,1,-67663.00942828038,0.19,5132.52,-67638.62995828038
365,52,592,1,1,1,263297.3903277824,0.14,16552.16,263448.0149837824
366,50,572,2,1,5,182578.8276662721,0.33,65017.72,183437.06157027208
